ID,Distance,Value
211776,1,-3%
212043,2,-50%
217878,1,-13%
218484,1,-6%
218792,1,-90%
219248,2,-3%
220080,2,-1%
220112,2,3%
220210,1,-44%
220400,1,-18%
220935,1,-10%
221106,2,-7%
221247,1,-55%
221269,1,-60%
221272,1,-14%
221281,1,3%
221300,1,-37%
222169,1,-55%
222414,1,-12%
222431,1,-13%
222433,1,-7%
222461,1,51%
222518,1,13%
222540,1,-40%
222543,1,11%
222568,1,-35%
222622,1,-28%
222671,1,9%
222678,1,-4%
223213,1,-45%
223320,1,11%
223365,1,-31%
223367,1,-8%
223443,2,-2%
223473,2,-8%
223479,2,43%
223489,1,0%
223503,1,-13%
223537,1,-12%
223545,2,-4%
223558,1,8%
223564,2,1%
223569,1,-3%
224013,2,35%
224069,1,83%
224085,1,-40%
224098,1,-7%
224122,1,-6%
224192,1,18%
224282,2,-5%
224297,1,-76%
224304,2,0%
224335,1,-51%
224336,1,-39%
224353,2,3%
224366,1,11%
224372,2,-3%
224439,1,-25%
224463,1,-6%
224467,1,36%
224469,1,2%
224470,2,-58%
224477,1,-2%
224483,1,-3%
224492,1,-54%
224509,2,-14%
224924,1,-24%
224953,1,-10%
225035,1,-7%
225054,2,20%
225060,2,-15%
225110,2,2%
225208,2,-5%
225215,1,-56%
225257,1,6%
225271,1,-62%
225281,1,-14%
225282,2,-11%
225442,1,-9%
225675,1,-9%
225869,1,-32%
225942,1,-13%
225989,1,-7%
226016,1,-4%
226020,2,-36%
226034,1,-10%
226527,1,-2%
226601,1,30%
226614,2,1%
226627,2,5%
226647,2,-9%
226656,1,-27%
226695,2,1%
226767,2,36%
226771,2,-46%
226774,2,69%
226787,1,-12%
226808,1,-44%
226809,1,-42%
226811,1,-19%
226818,1,-58%
226827,1,-14%
226828,1,-17%
226849,1,5%
227238,1,2%
227271,1,-4%
227281,1,-53%
227292,1,-25%
227300,1,-19%
227375,2,-18%
227381,1,-36%
227382,2,0%
227425,2,-17%
227459,1,47%
227520,1,5%
227540,1,-5%
227541,1,0%
227556,1,-1%
227560,2,-21%
237656,1,9%
237805,1,36%
237834,1,-23%
237836,1,12%
237837,1,11%
238549,1,1%
238562,1,10%
238608,1,20%
238659,1,-2%
238665,1,-8%
238771,1,53%
239333,1,38%
239429,1,10%
239436,1,32%
239875,1,15%
240066,1,-15%
240092,1,-47%
240148,1,14%
240190,1,22%
240200,1,-9%
240211,1,0%
240212,1,17%
240231,1,32%
240234,1,30%
240267,1,-22%
240273,1,-2%
240280,1,-5%
240282,1,-41%
240285,1,49%
240292,1,-6%
240310,1,-2%
240311,1,-19%
240317,1,-2%
240339,1,-7%
240418,1,-52%
240441,1,34%
240541,2,1%
240602,2,-75%
240706,1,-26%
240711,1,-22%
240764,2,24%
240814,2,9%
240822,2,-21%
240824,1,-13%
240869,1,17%
240872,1,12%
240885,1,-25%
240886,1,18%
240892,1,-64%
240904,1,-64%
241443,1,-39%
241445,1,-31%
241451,1,-20%
241461,2,-39%
241516,2,-19%
241520,1,18%
241538,1,27%
241544,1,8%
241549,1,9%
241552,1,34%
241556,1,11%
241564,1,14%
241566,1,9%
241600,1,-2%
241649,1,-3%
241655,1,-5%
241675,1,-39%
241763,1,-50%
242065,1,-5%
242195,1,-30%
242200,1,0%
242259,2,18%
242375,1,-18%
242897,1,-32%
242900,2,-71%
242903,1,-13%
242922,1,-23%
242985,1,-21%
242993,2,-15%
242995,1,11%
243005,1,2%
243012,1,14%
243019,2,-32%
243020,1,-2%
243021,2,18%
243023,1,15%
243024,1,-9%
243031,1,0%
243032,1,51%
243035,1,-5%
243038,1,10%
243039,1,34%
243040,1,22%
243041,1,-5%
243056,1,-9%
243059,1,23%
244230,1,22%
244488,2,-48%
244746,2,-30%
244752,1,25%
244831,1,62%
244846,1,-2%
245094,1,-10%
245325,1,-10%
245450,2,-64%
245471,1,-20%
245486,1,-26%
245502,1,-14%
245594,1,-9%
245597,1,21%
245605,1,37%
245613,1,17%
245626,1,16%
245630,1,15%
245643,1,-7%
245651,1,-12%
245680,1,56%
245741,1,23%
245772,1,41%
245873,1,23%
245878,1,5%
245892,2,15%
245973,1,-64%
246033,2,-52%
246098,1,4%
246153,1,15%
246306,1,-27%
246370,1,-30%
246507,1,-22%
246526,1,21%
246585,1,-2%
246605,1,53%
246606,1,-49%
246607,1,-19%
246610,1,53%
246617,1,-14%
246626,1,-21%
246662,1,20%
246667,1,23%
246670,1,1%
246679,1,17%
246681,1,3%
246689,1,18%
246691,1,10%
246692,2,-27%
246697,1,13%
246702,1,26%
246705,1,15%
246706,1,39%
246708,1,16%
246717,1,34%
246718,1,14%
246728,1,38%
246736,1,37%
246796,1,4%
246800,1,30%
246869,1,-45%
246893,1,-22%
247062,2,-8%
247079,2,-56%
247129,2,-22%
247278,1,12%
247285,1,-4%
247286,1,-14%
247290,1,-2%
247291,1,-54%
247296,1,-4%
247328,1,29%
247333,1,14%
247345,1,-11%
247944,1,-2%
248002,1,22%
248024,1,1%
248043,1,14%
248083,1,14%
248089,1,-87%
248093,1,-8%
248159,2,-22%
248258,1,20%
248321,2,19%
248325,1,21%
248426,1,-11%
248440,1,22%
248441,2,-8%
248508,2,-5%
248562,1,-14%
248573,2,-18%
248623,1,-10%
248635,1,63%
248644,1,-64%
248663,1,-35%
249258,1,-19%
249259,1,83%
249268,1,-21%
249270,1,-23%
249271,1,83%
249272,1,83%
249282,1,83%
249287,1,83%
249289,1,-24%
249292,1,83%
249351,1,59%
249355,1,17%
249363,1,9%
249364,1,15%
249365,1,-4%
249369,1,11%
249370,1,18%
249371,1,19%
249372,1,0%
249373,1,0%
249374,1,15%
249375,1,21%
249380,1,21%
249383,2,-11%
249386,1,-4%
249392,1,14%
249393,1,7%
249395,1,0%
249396,1,8%
249397,2,-12%
249404,1,17%
249407,1,31%
249412,1,21%
249417,1,11%
249419,1,12%
249423,1,16%
249424,1,15%
249428,1,43%
249450,1,-3%
249558,1,23%
249872,2,-43%
249992,2,-8%
250003,2,-10%
250056,1,-5%
250126,1,54%
250144,2,-24%
250215,1,100%
250621,1,55%
250626,1,112%
250691,2,-43%
250695,1,-41%
250697,1,-13%
250699,1,-10%
250718,1,-48%
250721,1,-28%
250724,1,22%
250731,1,26%
250736,1,5%
250766,1,-2%
250769,1,-3%
250770,1,22%
250782,1,41%
251025,1,-3%
251102,2,74%
251121,1,-9%
251145,2,-9%
251323,1,-4%
251734,1,26%
251737,1,-8%
251744,1,20%
251755,1,26%
251765,1,10%
252492,1,26%
252502,1,27%
252503,1,-3%
252510,1,-49%
252527,1,-25%
252799,2,-20%
252825,1,-62%
252834,1,10%
252945,1,42%
253235,1,-41%
253321,1,-8%
253322,1,-16%
253324,1,-24%
253325,1,-12%
253327,2,-25%
253328,1,-19%
253383,1,40%
253390,1,25%
253392,1,-2%
253393,2,-14%
253427,1,-28%
253436,1,-18%
253449,1,-14%
253453,1,-11%
253465,1,-15%
253492,1,-6%
253692,2,34%
253700,2,21%
253737,1,-4%
253745,1,-9%
253780,1,-4%
253782,1,-3%
253788,1,-27%
253796,2,-9%
253860,1,1%
253878,1,-59%
253888,2,-28%
253897,2,25%
253898,2,31%
253899,1,-16%
253906,1,-17%
253909,1,3%
253983,1,-64%
254000,1,-46%
254090,1,-53%
254468,1,-26%
254470,1,-34%
254484,1,-31%
254485,1,-3%
254487,1,-31%
254525,1,4%
254543,1,-12%
254552,1,-41%
254554,1,4%
254555,1,5%
254563,1,31%
254566,1,9%
254570,1,21%
254573,1,9%
254580,1,14%
254585,1,14%
254586,1,21%
254591,1,-3%
254787,1,-26%
255144,1,-22%
255240,1,-30%
255278,1,-29%
255298,1,-34%
255303,1,10%
255309,1,-1%
255323,1,-10%
255336,1,-23%
255339,2,-13%
255869,1,0%
255974,2,-1%
256060,1,10%
256122,1,-2%
256165,1,-2%
256173,1,5%
256235,1,-13%
256282,1,53%
256791,1,38%
256899,1,10%
257493,1,-47%
257559,1,14%
257602,1,21%
257615,1,-9%
257626,1,0%
257627,1,17%
257645,1,32%
257651,1,30%
257695,1,-3%
257705,1,-12%
257733,1,-26%
257752,1,4%
257769,1,-26%
257775,1,-7%
257844,1,22%
258388,2,-30%
258394,1,25%
258434,1,-5%
258451,1,-9%
258496,1,62%
258500,1,-39%
258753,1,-10%
259128,1,-14%
259218,1,-9%
259222,1,21%
259231,1,37%
259239,1,17%
259252,1,16%
259257,1,15%
259298,1,-2%
259305,1,-5%
259307,1,-41%
259310,1,49%
259316,1,-12%
259317,1,-6%
259330,1,-27%
259338,1,-2%
259341,1,-24%
259345,1,-2%
259359,1,0%
259368,1,-7%
259827,2,24%
259863,2,9%
259883,2,-21%
259885,1,-13%
259935,1,17%
259940,1,12%
259953,1,-25%
259954,1,18%
260517,2,-19%
260524,1,18%
260540,1,27%
260545,1,8%
260550,1,9%
260553,1,34%
260556,1,11%
260564,1,14%
260566,1,9%
260602,1,-2%
260619,1,-15%
260637,1,40%
260651,1,-3%
260655,1,8%
260657,1,-5%
261139,1,-30%
261183,1,-5%
261187,1,1%
261196,2,-7%
261226,1,55%
261850,1,-21%
261858,2,-15%
261861,1,11%
261872,1,2%
261878,1,14%
261889,2,-32%
261891,1,-2%
261892,1,18%
261894,1,15%
261895,1,-9%
261902,1,0%
261903,1,51%
261906,1,-5%
261909,1,11%
261910,1,34%
261911,1,21%
261912,1,-5%
261925,1,-9%
261928,1,23%
261933,1,-7%
261937,1,-12%
261951,1,-10%
261953,1,-10%
261970,1,56%
261974,1,-3%
261981,1,30%
262033,1,23%
262187,2,15%
262292,1,-3%
262332,1,-18%
262340,1,4%
262377,1,34%
262810,1,-19%
262819,1,-14%
262825,1,-21%
262849,1,20%
262854,1,23%
262857,1,1%
262865,1,17%
262867,1,3%
262875,1,18%
262878,1,10%
262879,2,-27%
262881,2,-11%
262885,1,14%
262889,1,26%
262893,1,15%
262894,1,39%
262896,1,16%
262903,2,-13%
262905,1,34%
262906,1,14%
262925,1,-1%
262934,1,-25%
262941,1,57%
262942,1,-23%
262947,1,-1%
263110,1,-9%
263111,1,-18%
263142,1,16%
263146,1,-26%
263148,1,16%
263159,1,32%
263163,1,2%
263166,1,40%
263172,1,6%
263177,1,20%
263187,1,15%
263188,1,42%
263193,1,36%
263212,1,34%
263213,1,11%
263214,1,-13%
263215,1,21%
263224,1,-8%
263232,1,-17%
263238,1,5%
263246,1,22%
263250,1,-25%
263252,1,-8%
263253,1,-11%
263267,1,1%
263289,1,13%
263338,1,1%
263536,2,52%
263591,2,-12%
263599,1,34%
263627,1,-51%
263633,1,-54%
263635,1,49%
263660,1,5%
263684,1,-40%
263724,1,-2%
263731,1,-32%
263735,1,-21%
263744,1,15%
264055,1,-13%
264069,1,11%
264077,1,5%
264564,1,-19%
264950,1,-3%
265059,2,-37%
265071,2,21%
265239,1,-40%
265600,1,-30%
265710,1,-36%
265724,1,-17%
265733,1,-9%
265777,1,-2%
265778,1,17%
265792,1,-1%
266639,2,-16%
266640,2,-16%
266649,2,-50%
266650,2,-50%
266707,2,-16%
266708,2,-16%
266787,2,-8%
266862,1,-41%
266873,1,-57%
266874,1,-57%
266918,1,87%
266921,2,78%
266941,2,19%
266978,1,-28%
266979,1,-28%
267318,1,-3%
267689,2,26%
268182,1,4%
